ranking,superconduc,trapped-ion,spin,photonic,neutral-atom
1,Chinese Acad Sci(140),Univ Innsbruck(52),Delft Univ Technol(107),Univ Sci & Technol China(66),MIT(13)
2,Yale Univ(136),Univ Maryland(50),Univ New South Wales(84),MIT(38),Harvard Univ(13)
3,Univ Sci & Technol China(127),Austrian Acad Sci(45),Univ Basel(66),Univ Chicago(30),Chinese Acad Sci(11)
4,RIKEN(126),Univ Oxford(36),Univ Maryland(62),Univ Maryland(29),Univ Wisconsin(11)
5,MIT(120),Duke Univ(32),Harvard Univ(49),Harvard Univ(28),Xidian Univ(10)
6,Tsinghua Univ(118),IonQ Inc(27),RIKEN(45),Univ Vienna(26),Princeton Univ(9)
7,Delft Univ Technol(105),NIST(22),Univ Grenoble Alpes(45),Univ Bristol(26),Univ Innsbruck(7)
8,Nanjing Univ(104),MIT(20),Univ Konstanz(43),Natl Univ Singapore(25),Novosibirsk State Univ(7)
9,Univ Calif Santa Barbara(101),Quantinuum(19),Rhein Westfal TH Aachen(42),Austrian Acad Sci(24),Tech Univ Darmstadt(7)
10,NIST(86),Harvard Univ(18),Univ Sci & Technol China(42),Nanjing Univ(24),QuEra Comp Inc(7)
