DOI,institution
10.1038/s41534-024-00816-x,Palacky Univ
10.1063/5.0204413,Sandia Natl Labs
10.1103/PhysRevB.110.035304,"Princeton Univ,Univ Konstanz,Univ Calif Los Angeles"
10.1103/PhysRevApplied.22.064084,Purdue Univ
10.1109/TCSI.2024.3518472,Pohang Univ Sci & Technol
10.1103/PhysRevB.110.045409,Ecole Polytech Montreal
10.1063/5.0211244,"Boston Univ,IBM TJ Watson Res Ctr"
10.1103/PhysRevA.109.033723,"Tsinghua Univ,Beijing Natl Res Ctr Informat Sci & Technol"
10.1007/s10773-024-05616-9,Vali Easr Univ Rafsanjan
