removed_word
bacon
bar
bennett
bnnni
caf
cap
cat
ccd
cdd
cirac
cnn
css
deutsch
dirac
dnn
ekert
gottesman
grover
harrow
heisenberg
hhl
iii
kitaev
lee
lloyd
non
pdd
ppm
preskill
smm
steane
xxx
