DOI,Addresses
10.1088/0256-307X/30/7/073701,"[Wan Wei; Chen Liang; Wu Hao-Yu; Xie Yi; Zhou Fei; Feng Mang] Chinese Acad Sci, State Key Lab Magnet Resonance & Atom & Mol Phys, Wuhan Inst Phys & Math, Wuhan 430071, Peoples R China; [Wan Wei; Chen Liang; Wu Hao-Yu; Xie Yi; Zhou Fei; Feng Mang] Chinese Acad Sci, Wuhan Natl Lab Optoelect, Wuhan 430071, Peoples R China; [Wan Wei; Wu Hao-Yu; Xie Yi] Univ Chinese Acad Sci, Beijing 100049, Peoples R China"
10.1038/s41467-021-24693-6,"[Biard, Hugo; Bonet, Edgar; Wernsdorfer, Wolfgang; Balestro, Franck] Univ Grenoble Alpes, Inst Neel, Grenoble INP, CNRS, Grenoble, France; [Moreno-Pineda, Eufemio] Univ Panama, Fac Ciencias Nat Exactas & Tecnol, Depto Quimica Fis Escuela Quim, Panama City, Panama; [Ruben, Mario] Karlsruhe Inst Technol KIT, Inst Nanotechnol INT, Eggenstein Leopoldshafen, Germany; [Ruben, Mario] Ctr Europeen Sci Quant CESQ, Inst Sci & Ingenierie Supramol ISIS, Strasbourg, France; [Ruben, Mario; Wernsdorfer, Wolfgang] Karlsruhe Inst Technol KIT, Inst Quantum Mat & Technol IQMT, Eggenstein Leopoldshafen, Germany; [Wernsdorfer, Wolfgang] Karlsruhe Inst Technol, Physikal Inst, Karlsruhe, Germany"
10.1002/qute.202400001,"[Shen, Hongxiang; Han, Zeyu; Li, Zongyuan; Luo, Wenhui; Yoshikawa, Nobuyuki] Yokohama Natl Univ, Inst Adv Sci, Yokohama 2408501, Japan; [He, Yuxing; Cheng, Lan; Luo, Yanyi; Jing, Bo] Southwest Jiaotong Univ, Sch Informat Sci & Technol SIST, Chengdu 611756, Peoples R China"
10.1103/PhysRevB.96.201304,"[Rancic, Marko J.; Burkard, Guido] Univ Konstanz, Dept Phys, D-78457 Constance, Germany; [Rancic, Marko J.] Univ Basel, Dept Phys, Klingelbergstr 82, CH-4056 Basel, Switzerland"
10.1103/PhysRevA.90.022323,"[Long, Guilu] Tsinghua Univ, State Key Lab Low Dimens Quantum Phys, Beijing 100084, Peoples R China; Tsinghua Univ, Dept Phys, Beijing 100084, Peoples R China; Tsinghua Natl Lab Informat Sci & Technol, Beijing 100084, Peoples R China"
10.1088/0253-6102/55/5/09,"[Zheng Shi-Biao; Lu Dao-Ming] Nanping Teachers Coll, Dept Elect Engn, Wuyishan 354300, Peoples R China; [Zheng Shi-Biao] Fuzhou Univ, Dept Elect Sci & Appl Phys, Fuzhou 350002, Peoples R China"
10.1063/5.0059966,"[Hannegan, J.; Saha, U.; Siverns, J. D.; Cassell, J.; Waks, E.; Quraishi, Q.] Univ Maryland, Inst Res Elect & Appl Phys, College Pk, MD 20742 USA; [Hannegan, J.; Cassell, J.; Waks, E.; Quraishi, Q.] Univ Maryland, Dept Phys, College Pk, MD 20742 USA; [Saha, U.; Siverns, J. D.; Waks, E.] Univ Maryland, Dept Elect & Comp Engn, College Pk, MD 20742 USA; [Quraishi, Q.] US Army Res Lab, 2800 Powder Mill Rd, Adelphi, MD 20783 USA"
10.1038/nature24654,"[Zhang, J.; Pagano, G.; Hess, P. W.; Kyprianidis, A.; Ecker, P. B.; Kaplan, H.; Gorshkov, A. V.; Gong, Z. -X.; Monroe, C.] Univ Maryland, Joint Quantum Inst, Dept Phys, College Pk, MD 20742 USA; [Zhang, J.; Pagano, G.; Hess, P. W.; Kyprianidis, A.; Ecker, P. B.; Kaplan, H.; Gorshkov, A. V.; Gong, Z. -X.; Monroe, C.] Univ Maryland, Joint Ctr Quantum Informat & Comp Sci, Dept Phys, College Pk, MD 20742 USA; [Zhang, J.; Pagano, G.; Hess, P. W.; Kyprianidis, A.; Ecker, P. B.; Kaplan, H.; Gorshkov, A. V.; Gong, Z. -X.; Monroe, C.] Natl Inst Stand & Technol, College Pk, MD 20742 USA; [Monroe, C.] IonQ Inc, College Pk, MD 20740 USA; [Gong, Z. -X.] Colorado Sch Mines, Dept Phys, Golden, CO 80401 USA"
10.1088/2058-9565/ad085b,"[Martinez-Lahuerta, V. J.; Hammerer, K.] Leibniz Univ Hannover, Inst Theoret Phys, Appelstr 2, D-30167 Hannover, Germany; [Pelzer, L.; Dietze, K.; Krinner, L.; Schmidt, P. O.] Phys Tech Bundesanstalt, Bundesallee 100, D-38116 Braunschweig, Germany; [Krinner, L.; Schmidt, P. O.] Leibniz Univ Hannover, Inst Quantum Opt, Welfengarten 1, D-30167 Hannover, Germany"
10.1038/s42005-021-00767-1,"[Sekiguchi, Yuhei; Kosaka, Hideo] Yokohama Natl Univ, Inst Adv Sci, 79-5 Tokiwadai, Yokohama, Kanagawa 2408501, Japan; [Yasui, Yuki; Tsurumoto, Kazuya; Koga, Yuta; Reyes, Raustin; Kosaka, Hideo] Yokohama Natl Univ, Grad Sch Engn Sci, Dept Phys, 79-5 Tokiwadai, Yokohama, Kanagawa 2408501, Japan"
10.1039/d4qi01782j,"[Hui, Xin-Yu; Zhang, Yu-Shuang; Xiong, Qi; Wu, Zhi-Rong; Gao, Song; Jiang, Shang-Da] South China Univ Technol, Sch Chem & Chem Engn, State Key Lab Luminescent Mat & Devices, Spin X Inst,Guangdong Hong Kong Macao Joint Lab Op, Guangzhou 510641, Peoples R China; [Zhou, Shen] Natl Univ Def Technol, Inst Quantum Sci & Technol, Coll Sci, Changsha 410003, Peoples R China; [Gao, Song] Sun Yat sen Univ, IGCME, Guangdong Basic Res Ctr Excellence Funct Mol Engn, Sch Chem,Minist Educ,Key Lab Bioinorgan & Synthet, Guangzhou 510275, Peoples R China; [Gao, Song] Peking Univ, Coll Chem & Mol Engn, Beijing Natl Lab Mol Sci, Beijing Key Lab Magnetoelectr Mat & Devices, Beijing 100871, Peoples R China"
10.1587/transele.2018SDP0001,"[Tabuchi, Yutaka; Tamate, Shuhei; Nakamura, Yasunobu] Univ Tokyo, Res Ctr Adv Sci & Technol, Tokyo 1538904, Japan; [Nakamura, Yasunobu] RIKEN, Ctr Emergent Matter Sci, Wako, Saitama 3510198, Japan"
10.1088/1367-2630/18/12/123007,"[Haddadfarshi, Farhang; Mintert, Florian] Imperial Coll London, Dept Phys, London SW7 2AZ, England"
10.1103/PhysRevA.108.032605,"[Li, Bacui; Conlon, Lorcan O.; Lam, Ping Koy; Assad, Syed M.] Australian Natl Univ, Ctr Quantum Computat & Commun Technol, Dept Quantum Sci, Canberra, ACT 2601, Australia; [Lam, Ping Koy] ASTAR, Inst Mat Res & Engn, 2 Fusionopolis Way,08-03 Innovis, Singapore 138634, Singapore"
10.1103/PhysRevA.107.012605,"[Dalal, Archismita; Sanders, Barry C.] Univ Calgary, Inst Quantum Sci & Technol, Calgary, AB T2N 1N4, Canada"
10.1103/PhysRevA.96.052316,"[Zhao, P. Z.; Cui, Xiao-Dan; Xu, G. F.; Tong, D. M.] Shandong Univ, Dept Phys, Jinan 250100, Shandong, Peoples R China; [Xu, G. F.; Sjoqvist, Erik] Uppsala Univ, Dept Phys & Astron, Box 516, SE-75120 Uppsala, Sweden"
10.1103/PhysRevLett.133.106001,"[Messelot, Simon; Aparicio, Nicolas; de Seze, Elie; Eyraud, Eric; Coraux, Johann; Renard, Julien] Univ Grenoble Alpes, Inst Neel, CNRS, Grenoble INP, F-38000 Grenoble, France; [Watanabe, Kenji] Natl Inst Mat Sci, Res Ctr Elect & Opt Mat, 1-1 Namiki, Tsukuba 3050044, Japan; [Taniguchi, Takashi] Natl Inst Mat Sci, Res Ctr Mat Nanoarchitecton, 1-1 Namiki, Tsukuba 3050044, Japan"
10.1038/s41567-020-0824-x,"[Lescanne, Raphael; Villiers, Marius; Delbecq, Matthieu; Kontos, Takis; Leghtas, Zaki] Univ Paris, Sorbonne Univ, Univ PSL, Lab Phys,ENS,CNRS, Paris, France; [Lescanne, Raphael; Villiers, Marius; Sarlette, Alain; Mirrahimi, Mazyar; Leghtas, Zaki] INRIA Paris, QUANTIC Team, Paris, France; [Peronnin, Theau; Huard, Benjamin] Univ Claude Bernard Lyon 1, Univ Lyon, ENS Lyon, CNRS,Lab Phys, Lyon, France; [Leghtas, Zaki] PSL Res Univ, Mines ParisTech, Ctr Automat & Syst, Paris, France"
10.1038/nature13436,"[Sun, L.; Petrenko, A.; Leghtas, Z.; Vlastakis, B.; Kirchmair, G.; Sliwa, K. M.; Narla, A.; Hatridge, M.; Shankar, S.; Blumoff, J.; Frunzio, L.; Mirrahimi, M.; Devoret, M. H.; Schoelkopf, R. J.] Yale Univ, Dept Appl Phys, New Haven, CT 06511 USA; [Sun, L.; Petrenko, A.; Leghtas, Z.; Vlastakis, B.; Kirchmair, G.; Sliwa, K. M.; Narla, A.; Hatridge, M.; Shankar, S.; Blumoff, J.; Frunzio, L.; Mirrahimi, M.; Devoret, M. H.; Schoelkopf, R. J.] Yale Univ, Dept Phys, New Haven, CT 06511 USA; [Mirrahimi, M.] INRIA Paris Rocquencourt, F-78153 Le Chesnay, France"
