DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1103/PhysRevLett.106.140502,0.0,0.0,0.0,0.0,0.0,0.0,1.52,1.69,0.0,1.76,0.0,3.52,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1.47,0.41,0.0,0.0,0.0,0.06
10.1126/science.1208001,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,1.63,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.12
10.1126/science.1203329,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.76,4.56,0.0,0.0,1.33,0.0,2.65,0.0,0.0,0.0,0.0,0.0,1.83,0.0,1.76,0.0,0.0,1.37,0.0,0.0,0.0,0.85,0.0,0.0,2.07,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevA.84.032314,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1.76,1.33,0.0,0.0,0.0,0.0,2.41,1.52,1.83,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.81,0.0,0.0,1.37,0.06
10.1038/ncomms1556,0.0,0.0,0.0,0.0,3.8,0.0,0.0,1.69,2.07,0.0,1.25,0.0,0.0,0.0,1.76,1.33,0.0,0.0,2.42,0.0,0.0,1.52,0.0,0.0,0.0,0.0,3.8,0.0,0.0,10.96,1.76,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2.07,0.0,2.03,0.0,0.0,0.0,0.06
10.1088/1367-2630/13/6/063015,2.07,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,3.52,0.0,0.0,0.0,1.21,1.63,0.0,0.0,3.65,0.0,0.0,0.0,0.0,2.07,1.37,1.83,0.0,0.0,0.85,0.0,0.0,0.0,0.0,4.14,0.06,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1007/s10773-011-0759-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.06
10.1103/PhysRevA.83.022305,0.0,0.0,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,1.63,8.02,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,2.07,0.0,1.62,0.0,1.69,6.87,0.06
10.1103/PhysRevA.84.022319,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,4.14,0.0,0.0,0.3,0.0,0.0,0.0,1.22,0.0,3.39,0.0,0.06
10.1103/PhysRevA.84.030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,0.0,2.65,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.41,2.07,0.0,2.75,0.06
10.1088/0953-4075/44/2/025501,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0
