DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1103/PhysRevA.87.022338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,2.06,0.0,2.42,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevLett.110.160402,0.0,0.0,0.0,0.0,0.0,0.0,1.52,5.08,0.0,3.52,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,10.29,0.0,0.0,0.0,0.0,0.06
10.1038/nature12802,0.0,1.69,0.0,0.0,0.0,0.0,1.52,3.39,0.0,0.0,1.25,0.0,1.52,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,3.65,1.63,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,3.52,0.0,0.0,0.0,4.14,0.24,3.86,0.0,0.0,2.43,0.0,0.0,0.0,0.06
10.1088/1367-2630/15/3/033005,0.0,1.69,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.8,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,2.07,0.0,0.41,0.0,0.0,0.0,0.06
10.1364/OL.38.004735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,1.25,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.22,2.07,0.0,1.37,0.06
10.1103/PhysRevLett.110.230601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.18,2.58,0.0,1.47,0.41,0.0,0.0,0.0,0.06
10.1103/PhysRevLett.111.180501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.18,0.0,0.0,1.47,0.41,0.0,0.0,0.0,0.06
10.1103/PhysRevLett.110.173002,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,1.76,0.0,2.06,0.0,2.42,0.0,2.41,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1.47,0.0,2.07,0.0,1.37,0.0
10.1063/1.4774299,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,3.21,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,2.07,1.69,5.5,0.06
10.1103/PhysRevA.88.041804,2.07,0.0,0.0,0.0,0.0,3.04,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.03,0.0,0.0,0.0,2.41,3.04,0.0,3.65,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.29,0.0,0.0,0.81,0.0,1.69,0.0,0.06
10.1103/PhysRevA.87.012131,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.52,0.0,0.0,0.0,0.0,0.88,0.0,0.0,2.41,0.0,1.83,12.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,2.07,0.06,3.86,2.07,0.0,0.81,0.0,0.0,1.37,0.12
10.1103/PhysRevA.87.040102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevLett.110.110503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,2.58,0.0,1.47,0.0,0.0,0.0,0.0,0.06
10.1063/1.4790843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.41,2.07,0.0,6.87,0.06
10.1038/nature13729,0.0,0.0,0.0,0.0,3.8,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,1.71,3.52,3.96,6.2,1.9,0.0,0.0,0.0,0.0,4.41,1.22,0.0,0.0,0.0,0.06
10.1103/PhysRevA.90.022323,0.0,0.0,0.0,0.0,0.0,1.52,0.0,3.39,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,4.41,1.21,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.12
10.1038/nature13436,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,0.0,0.0,1.33,0.0,0.0,4.83,0.0,0.0,0.0,0.0,12.79,0.0,0.0,1.9,0.0,0.0,3.65,0.0,0.0,3.42,5.27,0.0,0.0,5.7,0.0,0.0,2.58,0.0,0.0,3.24,0.0,0.0,0.0,0.06
10.1007/s00340-013-5541-z,0.0,0.0,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,4.14,0.0,1.37,0.06
10.1038/srep04910,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1063/1.4900754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,1.21,0.0,2.41,1.52,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevA.89.012304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,1.6,3.04,0.0,0.0,0.0,0.0,1.9,0.0,2.75,0.0,0.0,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.41,0.0,1.69,1.37,0.12
10.1103/PhysRevA.89.032301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,1.03,7.06,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,6.87,0.0,0.0,4.14,0.0,0.0,0.0,2.07,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1007/s11128-014-0787-x,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.6,1.52,1.83,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,1.37,0.12
10.1103/PhysRevA.90.022325,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,2.07,1.76,0.0,0.0,0.0,0.0,1.76,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1.83,9.13,0.0,3.52,0.0,0.0,0.0,0.0,3.52,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,1.22,0.0,1.69,0.0,0.06
10.1038/srep04291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.29,0.0,0.0,1.22,0.0,0.0,0.0,0.06
10.1103/PhysRevA.90.032319,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,1.76,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,17.64,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevLett.113.220501,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,1.03,2.65,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,1.98,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.81,2.07,0.0,1.37,0.0
10.1126/science.1253742,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.76,0.0,0.0,1.37,0.0,0.0,0.0,1.71,0.0,3.96,0.0,1.9,0.0,0.41,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.112.190502,0.0,0.0,0.0,0.0,1.9,1.52,3.04,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.33,1.03,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.85,0.0,0.0,2.07,0.0,0.0,0.24,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.12
10.1103/PhysRevA.89.062312,0.0,0.0,0.0,0.0,3.8,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,3.27,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.12,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.12
