DOI,spin,ion,gate,photon,entanglement,trap,error,measurement,scheme
10.1364/OL.38.004735,0.0,0.0,0.0,3.65,1.25,1.37,0.0,0.0,0.0
10.1103/PhysRevLett.110.230601,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58
10.1103/PhysRevLett.111.180501,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.110.173002,1.47,2.41,0.0,0.0,0.0,1.37,1.52,0.0,0.0
10.1063/1.4774299,0.0,3.21,0.0,0.0,1.25,5.5,0.0,0.0,0.0
10.1103/PhysRevA.88.041804,0.0,2.41,0.0,0.0,0.0,0.0,0.0,3.65,1.29
10.1103/PhysRevA.87.012131,0.0,2.41,0.88,0.0,1.25,1.37,1.52,12.79,3.86
10.1103/PhysRevA.87.040102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.110.110503,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58
10.1063/1.4790843,0.0,3.21,0.0,0.0,1.25,6.87,0.0,0.0,0.0
10.1038/nature13729,4.41,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.90.022323,0.0,0.0,4.41,0.0,0.0,0.0,3.04,0.0,1.29
10.1038/nature13436,0.0,0.0,0.0,3.65,0.0,0.0,9.13,12.79,2.58
10.1007/s00340-013-5541-z,0.0,1.6,0.0,0.0,0.0,1.37,0.0,0.0,0.0
10.1038/srep04910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1063/1.4900754,0.0,2.41,2.65,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.89.012304,0.0,1.6,3.53,0.0,0.0,1.37,0.0,0.0,0.0
10.1103/PhysRevA.89.032301,0.0,0.0,7.06,0.0,0.0,0.0,1.52,0.0,0.0
10.1007/s11128-014-0787-x,0.0,1.6,0.0,0.0,6.24,1.37,0.0,0.0,0.0
10.1103/PhysRevA.90.022325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.13,0.0
10.1038/srep04291,0.0,0.0,0.0,0.0,2.49,0.0,1.52,0.0,1.29
10.1103/PhysRevA.90.032319,17.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.113.220501,0.0,1.6,2.65,0.0,0.0,1.37,0.0,0.0,0.0
10.1126/science.1253742,0.0,0.8,2.65,0.0,0.0,0.0,7.61,0.0,0.0
10.1103/PhysRevLett.112.190502,0.0,0.0,0.88,0.0,1.25,0.0,0.0,0.0,0.0
10.1103/PhysRevA.89.062312,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,2.58
