DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1103/PhysRevA.85.032334,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,2,3,0,0,3,0,0,0,2
10.1103/PhysRevB.85.241401,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
10.1103/PhysRevA.85.040302,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,4,2,0,0,1,0,0,0,1
10.1103/PhysRevA.85.022511,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
10.1038/nature11120,0,3,0,0,0,2,3,0,0,0,2,0,0,0,1,1,0,0,1,1,2,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,1,0,0,0,8,0,2,0,1
10.1038/NMAT3182,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,10,2,0,1,0,1
10.1103/PhysRevLett.108.260503,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1
10.1007/s00340-011-4807-6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3,0,0,4,1
10.1103/PhysRevLett.109.103601,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1
10.1103/PhysRevLett.109.020503,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1
10.1140/epjd/e2012-20576-8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,1
10.1007/s00340-012-4882-3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
10.1007/s10773-013-1646-8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,5,0,0,1,0,0,0,1
10.1038/ncomms2764,0,2,0,1,0,0,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
10.1038/nature12801,0,0,0,0,1,1,1,2,0,1,3,2,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2,2,0,1,0,1,3,0,0,0,10,0,0,0,1
10.1038/nature11821,1,6,2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,2,3,0,0,0,4,0,1,0,1
10.1088/0256-307X/30/7/073701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3
10.1103/PhysRevLett.110.263002,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,2
10.1103/PhysRevLett.111.230507,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,0,0,0,1
10.1088/1367-2630/15/8/083001,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2
10.1103/PhysRevA.87.062336,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,1
10.1038/srep01180,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10.1103/PhysRevA.87.032325,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,1
10.1038/NNANO.2013.117,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,9,2,0,5,0,1
10.1140/epjst/e2013-01751-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1
10.1038/NPHOTON.2013.287,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1
10.1103/PhysRevA.87.022338,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10.1103/PhysRevLett.110.160402,0,0,0,0,0,0,1,3,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,1
10.1038/nature12802,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,2,4,3,0,0,6,0,0,0,1
10.1088/1367-2630/15/3/033005,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1
10.1364/OL.38.004735,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,1,1
10.1103/PhysRevLett.110.230601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,1,0,0,0,1
10.1103/PhysRevLett.111.180501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,1
10.1103/PhysRevLett.110.173002,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0
10.1063/1.4774299,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1
10.1103/PhysRevA.88.041804,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1
10.1103/PhysRevA.87.012131,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,2,0,0,1,2
10.1103/PhysRevA.87.040102,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10.1103/PhysRevLett.110.110503,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1
10.1063/1.4790843,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5,1
10.1038/nature13729,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,3,1,0,0,0,0,3,3,0,0,0,1
10.1103/PhysRevA.90.022323,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
10.1038/nature13436,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,0,0,7,0,0,1,0,0,2,0,0,4,3,0,0,3,0,0,2,0,0,8,0,0,0,1
10.1007/s00340-013-5541-z,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1
10.1038/srep04910,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10.1063/1.4900754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1
