DOI,gate,error,code,state,fidelity,ion,noise,measurement,spin,photon,interaction,entanglement,field,trap,quantum computer,circuit,phase,fault,control,algorithm,information,protocol,scheme,laser,frequency,dynamic,quantum computing,transition,mode,hardware,simulation,number,crosstalk,crystal,detection,optimization,device,architecture,quantum processor,platform,trapped ion,parameter,rate,scale,array,qudit,datum
10.22331/q-2020-07-06-290,0.64,0.0,0.0,1.86,0.0,0.36,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,5.35
10.1038/s41467-020-14376-z,2.58,11.38,0.0,0.0,3.99,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,3.92,0.0,0.0,0.0,0.0
10.1038/s41534-019-0235-y,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,1.56,1.56,0.0,0.0,0.0,0.0,3.97,0.0,0.0,3.07,0.48,0.0,0.0,1.61,0.0,0.0,0.0
10.1073/pnas.2006103117,0.0,0.95,0.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.48,0.0,0.0,1.61,2.27,0.0,0.0
10.1088/1367-2630/ab84b6,1.29,0.0,0.0,0.0,1.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,3.35,0.0,1.63,0.0,1.39,0.0,0.0,0.0,0.0,1.56,0.0,7.42,0.0,0.0,0.0,4.11,0.0,0.0,0.95,0.0,0.0,0.0,6.82,0.0,0.0
10.1002/qute.202000027,0.64,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.45,0.0,0.0,0.0,6.09,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,4.11,0.0,0.0,1.43,3.75,0.0,1.61,0.0,0.0,0.0
10.1038/s41586-020-2811-x,0.64,0.0,0.0,0.0,1.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,1.1,0.0,0.0,0.0,6.44,0.0,2.88,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,2.47,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,2.27,0.0,0.0
10.1038/s41586-020-2667-0,0.64,5.69,4.67,0.0,0.0,0.71,1.78,1.46,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,2.16,0.0,2.03,5.75,1.69,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,2.05,3.63,0.0,0.0,0.0,1.96,1.61,0.0,0.0,0.0
10.1088/1367-2630/ab8830,4.51,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,1.1,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.125.050402,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/s41467-020-19074-4,0.64,5.69,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,4.31,3.38,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,1.96,0.0,0.0,0.0,5.35
10.1088/1367-2630/ab8046,3.22,0.95,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,6.76,1.66,0.0,0.0,1.71,0.0,1.61,0.0,0.0,0.0,0.0,2.93,1.63,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/ab9982,0.0,0.0,0.0,2.48,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,2.93,1.63,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PRXQuantum.1.020316,3.22,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/s41467-020-17519-4,0.0,0.0,0.0,1.24,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.9,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,3.75,0.0,1.61,0.0,0.0,0.0
10.1103/PhysRevA.101.042334,3.22,0.95,0.0,1.24,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,4.39,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.124.010504,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.48,0.0,0.0,1.61,0.0,0.0,0.0
10.1103/PhysRevLett.124.240505,0.0,0.0,0.0,0.0,0.0,0.71,0.0,4.39,1.9,0.0,1.73,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
