DOI,gate,spin,entanglement,state,ion,noise,photon,atom,field,error,interaction,measurement,quantum computer,fidelity,scheme
10.1103/PhysRevLett.119.040501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.95.144306,0.0,10.0,3.81,0.0,0.0,1.3,0.0,0.0,1.06,0.0,2.48,0.0,0.0,0.0,0.0
10.1103/RevModPhys.89.035002,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,1.54,0.0,0.0,0.0
10.1016/j.optcom.2017.04.011,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0
10.1038/s41467-017-01895-5,0.72,1.43,0.0,0.0,0.45,1.3,0.0,0.0,0.0,2.54,0.0,3.08,0.0,0.0,3.7
10.1103/PhysRevA.95.022305,0.72,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0
10.1103/PhysRevX.7.031049,0.0,17.14,1.27,0.0,0.0,0.0,0.0,7.41,1.06,0.0,2.48,0.0,0.0,0.0,0.0
10.1016/j.optcom.2017.05.054,0.0,0.0,7.62,4.62,0.0,0.0,0.0,0.0,4.23,0.0,2.48,0.0,0.0,0.0,0.0
10.1038/s41534-017-0017-3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0
10.1088/2058-9565/aa7983,1.44,0.0,3.81,2.31,2.26,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85
10.1038/s41467-017-02298-2,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/s41566-017-0007-1,0.0,1.43,0.0,0.0,0.9,2.6,0.0,0.0,1.06,0.0,0.0,0.0,1.58,0.0,0.0
10.1364/AO.56.00B222,0.0,0.0,7.62,0.77,2.26,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0
10.1088/1367-2630/aa7b22,0.0,0.0,0.0,3.08,0.9,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NNANO.2016.188,0.0,12.86,0.0,0.77,0.0,0.0,0.0,1.85,0.0,0.0,2.48,0.0,0.0,0.0,0.0
10.1073/pnas.1618020114,0.72,0.0,0.0,0.77,0.45,0.0,0.0,0.0,0.0,0.0,1.24,0.0,4.73,0.0,0.0
10.1103/PhysRevLett.119.220501,2.15,0.0,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0
10.1103/PhysRevA.95.032314,4.31,0.0,0.0,0.0,0.45,5.2,0.0,0.0,0.0,1.27,0.0,3.08,0.0,3.81,0.0
10.1103/PhysRevA.96.032341,0.72,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,19.04,0.0,3.08,0.0,0.0,0.0
10.1007/s00340-017-6806-8,0.0,0.0,1.27,0.77,1.81,2.6,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1361-6455/aa60df,0.0,0.0,3.81,5.39,0.45,5.2,0.0,0.0,1.06,0.0,1.24,0.0,0.0,0.0,0.0
10.1088/2058-9565/aa771a,0.0,0.0,0.0,0.77,3.16,2.6,0.0,0.0,5.29,1.27,0.0,0.0,0.0,0.0,5.55
10.1103/PhysRevApplied.8.064004,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0
10.1038/ncomms15305,0.0,0.0,0.0,3.85,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0
10.1038/s41586-018-0450-2,0.0,0.0,0.0,0.77,0.0,0.0,1.8,12.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.97.042317,0.0,1.43,0.0,0.0,0.9,0.0,0.0,0.0,1.06,0.0,1.24,0.0,0.0,0.0,0.0
