DOI,Institutions
10.1038/s41586-022-04854-3,"Zhejiang Univ,Tsinghua Univ,Alibaba Zhejiang Univ,Univ Maryland,NIST,Iowa State Univ,Ames Lab,QuEra Comp Inc,Colorado Sch Mines,Natl Inst Stand & Technol,Shanghai Qi Zhi Inst"
10.1088/2058-9565/ac7b41,"Leibniz Univ Hannover,Phys Tech Bundesanstalt,St Kliment Ohridski Univ Sofia,Natl Inst Stand & Technol"
10.1038/NPHOTON.2013.287,"Univ Tokyo,Australian Natl Univ,Univ Sydney"
10.1103/PhysRevX.5.031031,"Max Planck Inst Quantum Opt,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Donostia Int Phys Ctr,IKERBASQUE,Delft Univ Technol"
10.1134/S0021364022601956,"Russian Quantum Ctr,Higher Sch Syst Engn MIPT"
10.1140/epjqt/s40507-023-00192-z,"Riverlane,Natl Phys Lab"
10.1103/PhysRevA.101.022308,"Aarhus Univ,Univ Amsterdam,QuSoft"
10.1103/PhysRevA.94.052321,"Austrian Acad Sci,Univ Innsbruck,Univ Siegen"
10.1038/nature15263,"Univ New S Wales,Keio Univ"
10.1088/1367-2630/17/6/065018,"Austrian Acad Sci,Univ Innsbruck,Indian Inst Sci Educ & Res,Johannes Gutenberg Univ Mainz"
10.1103/PhysRevApplied.15.024054,"Austrian Acad Sci,Univ Innsbruck,CSIC,Univ Carlos III Madrid"
10.1016/j.physleta.2020.126743,"Univ Tabriz,Imam Khomeini Int Univ"
10.1038/nature11120,"Univ Innsbruck,Phys Tech Bundesanstalt,Leibniz Univ Hannover,Austrian Acad Sci"
10.1038/NMAT3182,"Princeton Univ,Keio Univ,Univ Oxford,Inst Kristallzuchtung,Phys Tech Bundesanstalt,Vitcon Projectconsult GmbH,Univ Calif Berkeley,Simon Fraser Univ"
10.1103/PRXQuantum.2.030334,"Univ Waterloo,Univ Ulm,Univ Autonoma Barcelona,Univ Innsbruck,Austrian Acad Sci,DESY Zeuthen,Perimeter Inst Theoret Phys"
10.1109/ACCESS.2021.3139085,"Penn State Univ,IBM Corp"
10.1103/PhysRevB.92.134204,"Austrian Acad Sci,Univ Innsbruck,Tech Univ Munich"
10.1002/qute.202000028,"NIST,Univ Colorado,Natl Inst Metrol,QUARTIQ GmbH,EOSpace Inc,Univ Sydney,Univ Oregon"
10.1126/sciadv.aay3050,"Delft Univ Technol,Leiden Univ,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevA.101.052327,"Fudan Univ,Collaborat Innovat Ctr Adv Microstruct,Shanghai Res Ctr Quantum Sci"
10.1103/PhysRevX.12.031013,"Univ Calif Berkeley,Lawrence Berkeley Natl Lab,MIT,Harvard Univ,Univ Maryland,Perimeter Inst Theoret Phys"
10.1038/s41566-017-0007-1,"Tsinghua Univ,Univ Michigan,Princeton Univ"
10.1103/PhysRevA.107.042422,"Rhein Westfal TH Aachen,Forschungszentrum Julich,Univ Innsbruck,Alpine Quantum Technol GmbH"
10.1103/PhysRevA.87.022338,"Univ Nottingham,Univ Leeds"
10.1364/AO.56.00B222,"US Army Res Lab,Univ Maryland"
10.1109/TIT.2021.3130155,"Duke Univ,Univ Arizona"
10.1103/PhysRevA.104.012606,"Univ Sydney,Q CTRL Pty Ltd,Univ Innsbruck,Univ Calif Berkeley,Paul Scherrer Inst"
10.1007/s00340-018-6955-4,"Natl Phys Lab,Univ Strathclyde,Imperial Coll,M Squared Lasers,Univ Oxford"
10.22331/q-2020-07-06-290,"Univ Innsbruck,Austrian Acad Sci"
10.1088/1367-2630/ab2a45,"US Army Res Lab,Yale Univ,Univ Maryland"
10.1038/nature09256,"Harvard Univ,CALTECH,Bates Coll,Univ Pittsburgh,Univ Copenhagen,Texas A&M Univ"
10.1038/s41534-019-0147-x,"Univ Waterloo,Univ Maryland,Army Res Lab,Univ Calif Berkeley,Lawrence Berkeley Natl Lab"
10.1103/PRXQuantum.4.030312,"Virginia Tech,Univ Colorado Boulder,Leiden Univ,Univ Delaware"
10.3390/e25020387,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1103/PhysRevA.99.052332,"Harvard Univ,Perimeter Inst Theoret Phys"
10.1103/PhysRevLett.117.015301,"Boston Univ,Univ Calif Berkeley"
10.21468/SciPostPhys.15.4.170,"Nanyang Technol Univ,Natl Univ Singapore,ASTAR"
10.1088/1367-2630/13/6/063015,"Karlsruhe Inst Technol,DFG CFN"
10.1038/s41467-020-14376-z,"Tsinghua Univ,Huazhong Univ Sci & Technol,China Acad Engn Phys,Beijing Acad Quantum Informat Sci"
10.1038/s41534-019-0235-y,"Univ Turku,Aalto Univ"
10.1073/pnas.2006103117,"Max Planck Inst Phys Komplexer Syst,Freie Univ,Univ Granada,Helmholtz Zentrum Berlin Mat & Energie"
10.1038/srep04291,"Natl Univ Singapore,Singapore Univ Technol & Design,Nankai Univ,Univ Michigan,Univ Calif Santa Barbara"
10.1364/OPTICA.512155,"Princeton Univ,Duke Univ"
10.1103/PhysRevApplied.11.014064,"Hebrew Univ Jerusalem,Max Planck Inst Biophys Chem"
10.1007/s10773-011-0759-1,"Hunan Univ Technol,Hunan Normal Univ"
10.1103/PhysRevX.13.041035,"Univ Colorado,Natl Inst Stand & Technol,Univ Bonn"
10.1038/NNANO.2016.188,"Delft Univ Technol,ETH"
10.1103/PhysRevA.103.052437,"Univ Amsterdam,QuSoft"
10.1145/3511064,"Princeton Univ,Duke Univ,Google Quantum AI"
10.1103/PRXQuantum.4.020345,"Quantum Mot,Univ Oxford"
10.1103/PhysRevA.90.032319,"Chinese Univ Hong Kong,Univ Stuttgart,Beijing Computat Sci Res Ctr"
10.1103/PhysRevA.106.022608,"Tsinghua Univ,Hefei Natl Lab,HYQ Co Ltd"
10.1103/PhysRevLett.110.160402,"Univ Cambridge,CNR,LENS,Univ Bonn"
10.1103/PRXQuantum.3.040322,"Univ Calif Berkeley,Univ Sherbrooke,Bleximo Corp,Canadian Inst Adv Res"
10.1038/nature12802,"Yale Univ,INRIA Paris Rocquencourt"
10.1088/1367-2630/15/3/033005,"Univ Pais Vasco UPV EHU,Basque Fdn Sci"
10.1103/PRXQuantum.5.030322,"Korea Inst Sci & Technol KIST,Seoul Natl Univ,Korea Univ,Univ Sydney,Univ Chicago"
10.1007/s00340-016-6527-4,"Johannes Gutenberg Univ Mainz,UBA,Consejo Nacl Invest Cient & Tecn"
10.1038/s41567-022-01875-7,"Australian Natl Univ,Friedrich Schiller Univ Jena,Univ Cambridge,Inst Expt Phys,Fraunhofer Inst Appl Opt & Precis Engn IOF,Max Planck Sch Photon,Macquarie Univ,Amazon Web Serv,Inst Quantum Opt & Quantum Informat,Alpine Quantum Technol AQT,Nanyang Technol Univ,ASTAR"
10.1002/qute.202000027,"Univ Sussex,Universal Quantum Ltd,Univ Oxford"
10.1103/PRXQuantum.2.040338,"Sandia Natl Labs,Univ Calif Berkeley,Lawrence Berkeley Natl Lab"
10.1002/qute.202300056,"Univ Maryland,Duke Univ"
10.1038/s41586-021-03809-4,"NIST,Univ Colorado,Lawrence Livermore Natl Lab,Univ Texas San Antonio,Univ Oregon,Univ Oxford,Stanford Univ"
10.1103/PhysRevLett.126.153602,"Tech Univ Denmark,Palacky Univ"
10.1103/PhysRevLett.126.010501,"Natl Inst Stand & Technol,Univ Colorado,Univ Oregon"
10.1073/pnas.1618020114,"Univ Maryland,Natl Sci Fdn,Microsoft Res,IonQ Inc"
10.1038/s41534-023-00784-8,"Tsinghua Univ,Renmin Univ China,Beijing Acad Quantum Informat Sci,Southern Univ Sci & Technol,Huazhong Univ Sci & Technol,China Acad Engn Phys,Hefei Natl Lab,Frontier Sci Ctr Quantum Informat"
